ts,row_index,level,stage,idsbr,nama,match_value,note,screenshot
20251230_102013,1,OK,DRY_RUN,97516601,"KONTRAKTOR AZRIN ZABUR, CV",0,"Tombol Edit ditemukan (dry-run, form tidak dibuka).",
20251230_102014,2,OK,DRY_RUN,97516602,KOPERASI SERBA USAHA,1,"Tombol Edit ditemukan (dry-run, form tidak dibuka).",
20251230_102014,3,OK,DRY_RUN,97516604,"AYUMI CIPTA SARANA, CV",2,"Tombol Edit ditemukan (dry-run, form tidak dibuka).",
20251230_102014,4,OK,DRY_RUN,97516605,KOPERASI BERKAH SEJATI,3,"Tombol Edit ditemukan (dry-run, form tidak dibuka).",
20251230_102014,5,OK,DRY_RUN,97516614,SETIA KAWAN UD,4,"Tombol Edit ditemukan (dry-run, form tidak dibuka).",
20251230_102015,6,OK,DRY_RUN,97516615,TRAVEL(ASDIN SATRIA),5,"Tombol Edit ditemukan (dry-run, form tidak dibuka).",
20251230_102015,7,OK,DRY_RUN,97516609,TOKO FURNITURE (SAKARIA),6,"Tombol Edit ditemukan (dry-run, form tidak dibuka).",
20251230_102015,8,OK,DRY_RUN,97516610,"ARWAN, UD",7,"Tombol Edit ditemukan (dry-run, form tidak dibuka).",
20251230_102015,9,OK,DRY_RUN,97516606,KONSULTAN SURYA ABADI PT,8,"Tombol Edit ditemukan (dry-run, form tidak dibuka).",
20251230_102016,10,OK,DRY_RUN,97516607,KARAOKE KELUARGA (ACO),9,"Tombol Edit ditemukan (dry-run, form tidak dibuka).",
